program_id,university_name,university_type,partnership_status,partner_name,country,city,world_ranking,program_name,field_of_study,specialization,course_duration_months,min_gpa,min_percentage,last_education_required,work_experience_required,min_work_experience_years,specific_background_required,english_test_required,ielts_overall,toefl_overall,pte_overall,duolingo_overall,moi_accepted,gre_required,gmat_required,tuition_fee_usd,tuition_fee_eur,application_fee_eur,scholarships_available,scholarship_details,scholarship_amount_max,living_cost_estimate_eur,intake_spring,intake_summer,intake_fall,intake_winter,fall_deadline,visa_success_rate,job_placement_rate,post_study_work_visa,university_website,program_website,,,,
PROG015,NEOMA Business School,Private,Partnered,Edugo,France,Reims,30,MSc in Marketing,Marketing,Digital Marketing,12,3.0,70,Bachelor's,No,0,Marketing or related,Yes,6.5,90,58,110,Yes,No,No,17300,16000,100,Yes,Excellence Scholarship,4000,12000,No,No,Yes,No,06/30,92,90,2 years,https://neoma-bs.com,https://neoma-bs.com/programmes/msc-masters-of-science/msc-marketing,,,,
PROG016,NEOMA Business School,Private,Partnered,Edugo,France,Reims,30,Full-time MBA,Business Administration,General Management,12,3.0,70,Bachelor's,Yes,3,Business or related,Yes,6.5,90,58,110,Yes,No,No,23800,22000,100,Yes,Merit-based Scholarship,5000,12000,No,No,Yes,No,06/30,92,90,2 years,https://neoma-bs.com,https://neoma-bs.com/programmes/mba/full-time-mba,,,,
PROG017,College de Paris,Private,Partnered,Edugo,France,Paris,1001,BBA in Culinary Arts and Management,Hospitality Management,Culinary Arts,36,2.8,65,High School Diploma,No,0,Any background,Yes,6.0,72,50,100,Yes,No,No,9900,9170,50,Yes,Merit-based Scholarship,2000,12000,Yes,No,Yes,No,06/30,88,82,2 years,https://www.collegedeparis.com/en/,https://www.collegedeparis.com/en/bba-culinary-arts-management/,,,,
PROG018,College de Paris,Private,Partnered,Edugo,France,Paris,1001,BBA in Digital Management of Tourism and Hospitality,Hospitality Management,Digital Tourism,36,2.8,65,High School Diploma,No,0,Any background,Yes,6.0,72,50,100,Yes,No,No,10450,9670,50,Yes,Merit-based Scholarship,2000,12000,Yes,No,Yes,No,06/30,88,82,2 years,https://www.collegedeparis.com/en/,https://www.collegedeparis.com/en/bba-digital-management-tourism-hospitality/,,,,
PROG019,College de Paris,Private,Partnered,Edugo,France,Paris,1001,BBA in Information Technology,Information Technology,Digital Business,36,2.8,65,High School Diploma,No,0,STEM preferred,Yes,6.0,72,50,100,Yes,No,No,11550,10690,50,Yes,Merit-based Scholarship,2000,12000,Yes,No,Yes,No,06/30,88,82,2 years,https://www.collegedeparis.com/en/,https://www.collegedeparis.com/en/bba-information-technology/,,,,
PROG020,College de Paris,Private,Partnered,Edugo,France,Paris,1001,MBA in Food and Beverage Management,Business Administration,Food and Beverage,12,3.0,70,Bachelor's,Yes,2,Business or related,Yes,6.5,90,58,110,Yes,No,No,13200,12200,75,Yes,Merit-based Scholarship,3000,12000,No,No,Yes,No,06/30,88,82,2 years,https://www.collegedeparis.com/en/,https://www.collegedeparis.com/en/mba-food-beverage-management/,,,,
PROG021,College de Paris,Private,Partnered,Edugo,France,Paris,1001,MBA in Project Management and Entrepreneurship,Business Administration,Project Management,12,3.0,70,Bachelor's,Yes,2,Business or related,Yes,6.5,90,58,110,Yes,No,No,13200,12200,75,Yes,Merit-based Scholarship,3000,12000,No,No,Yes,No,06/30,88,82,2 years,https://www.collegedeparis.com/en/,https://www.collegedeparis.com/en/mba-project-management-entrepreneurship/,,,,
PROG022,College de Paris,Private,Partnered,Edugo,France,Paris,1001,MBA in International Digital Project Management,Business Administration,Digital Project Management,12,3.0,70,Bachelor's,Yes,2,Business or IT,Yes,6.5,90,58,110,Yes,No,No,13200,12200,75,Yes,Merit-based Scholarship,3000,12000,No,No,Yes,No,06/30,88,82,2 years,https://www.collegedeparis.com/en/,https://www.collegedeparis.com/en/mba-international-digital-project-management/,,,,
PROG023,Cours Florent,Private,Partnered,Edugo,France,Paris,1001,Bachelor in Acting in English,Performing Arts,Acting,36,2.8,65,High School Diploma,No,0,Any background,Yes,6.0,72,50,100,Yes,No,No,9350,8650,100,Yes,Free English Scholarship,7900,12000,Yes,No,Yes,No,06/01,85,80,2 years,https://www.coursflorent.fr/en/,https://www.coursflorent.fr/en/programs/acting-in-english,,,,
PROG024,Cours Florent,Private,Partnered,Edugo,France,Paris,1001,Professional Acting Program in English,Performing Arts,Theatre and Cinema,36,3.0,70,Bachelor's,No,0,Performing arts background,Yes,6.5,80,58,105,Yes,No,No,7900,7310,100,Yes,Merit-based Grants,2000,12000,Yes,No,Yes,No,06/01,85,80,2 years,https://www.coursflorent.fr/en/,https://www.coursflorent.fr/en/programs/professional-acting,,,,
PROG025,Wes'sup Business School,Private,Partnered,Edugo,France,Villeurbanne,1501,BBA in Management and SME Management,Business Administration,Small and Medium Enterprises Management,36,2.8,65,High School Diploma,No,0,Any background,Yes,6.0,72,50,100,Yes,No,No,9500,8800,50,Yes,Merit-based Scholarship,1500,12000,Yes,Yes,Yes,No,06/30,85,80,2 years,https://www.wes-sup.fr/,http://wes-sup-france.com/programmes/bba-management-et-gestion-de-la-pme,,,,
PROG026,Wes'sup Business School,Private,Partnered,Edugo,France,Villeurbanne,1501,MSc in International Trade and Business Development,Business Administration,International Trade,24,3.0,70,Bachelor's,No,0,Business or related,Yes,6.5,80,58,110,Yes,No,No,12000,11100,75,Yes,Excellence and Merit Scholarships,2500,12000,No,No,Yes,No,06/30,85,80,2 years,https://www.wes-sup.fr/,http://wes-sup-france.com/programmes/msc-international-trade,,,,
PROG027,Wes'sup Business School,Private,Partnered,Edugo,France,Villeurbanne,1501,MBA in Strategic Management,Management,Strategic Management,12,3.0,70,Bachelor's,Yes,2,Business or related,Yes,6.5,80,58,110,Yes,No,No,14000,12900,75,Yes,Merit-based Scholarship,3000,12000,No,No,Yes,No,06/30,85,80,2 years,https://www.wes-sup.fr/,http://wes-sup-france.com/programmes/mba-strategic-management,,,,
PROG028,Wes'sup Business School,Private,Partnered,Edugo,France,Villeurbanne,1501,MSc in Human Resources Management,Human Resources,Strategic HR,24,3.0,70,Bachelor's,No,0,Business or HR related,Yes,6.5,80,58,110,Yes,No,No,11500,10600,75,Yes,Merit-based Scholarship,2000,12000,No,No,Yes,No,06/30,85,80,2 years,https://www.wes-sup.fr/,http://wes-sup-france.com/programmes/msc-human-resources,,,,
PROG029,ISEP Engineering Graduate School,Private,Partnered,Edugo,France,Paris,501-550,MSc in Information Technology - System Integration and Project Management,Information Technology,System Integration and Project Management,18,3.0,70,Bachelor's,No,0,Engineering or IT background,Yes,6.5,90,58,110,Yes,No,No,16500,15250,100,Yes,Merit and Excellence Scholarships,4000,12000,No,No,Yes,No,05/31,95,92,2 years,https://www.isep.fr/en/,https://www.isep.fr/en/course/engineering-program-master-degree-iemdp/,,,,
PROG030,ISEP Engineering Graduate School,Private,Partnered,Edugo,France,Paris,501-550,MSc in Information Technology - Networks and Telecommunications,Information Technology,Networks and Telecommunications,18,3.0,70,Bachelor's,No,0,Engineering or IT background,Yes,6.5,90,58,110,Yes,No,No,16500,15250,100,Yes,Merit and Excellence Scholarships,4000,12000,No,No,Yes,No,05/31,95,92,2 years,https://www.isep.fr/en/,https://www.isep.fr/en/course/engineering-program-master-degree-iemdp/,,,,
PROG031,ISEP Engineering Graduate School,Private,Partnered,Edugo,France,Paris,501-550,MSc in Information Technology - Information Systems,Information Technology,Information Systems,18,3.0,70,Bachelor's,No,0,Engineering or IT background,Yes,6.5,90,58,110,Yes,No,No,16500,15250,100,Yes,Merit and Excellence Scholarships,4000,12000,No,No,Yes,No,05/31,95,92,2 years,https://www.isep.fr/en/,https://www.isep.fr/en/course/engineering-program-master-degree-iemdp/,,,,
PROG032,ISEP Engineering Graduate School,Private,Partnered,Edugo,France,Paris,501-550,MSc in Electronics & Telecommunications - Electronics for Systems,Electronics,Electronics for Systems,18,3.0,70,Bachelor's,No,0,Engineering background,Yes,6.5,90,58,110,Yes,No,No,16500,15250,100,Yes,Merit and Excellence Scholarships,4000,12000,No,No,Yes,No,05/31,95,92,2 years,https://www.isep.fr/en/,https://www.isep.fr/en/course/engineering-program-master-degree-iemdp/,,,,
PROG033,ISEP Engineering Graduate School,Private,Partnered,Edugo,France,Paris,501-550,MSc in Electronics & Telecommunications - Telecommunications and Wireless Networks,Electronics,Telecommunications and Wireless Networks,18,3.0,70,Bachelor's,No,0,Engineering background,Yes,6.5,90,58,110,Yes,No,No,16500,15250,100,Yes,Merit and Excellence Scholarships,4000,12000,No,No,Yes,No,05/31,95,92,2 years,https://www.isep.fr/en/,https://www.isep.fr/en/course/engineering-program-master-degree-iemdp/,,,,
PROG034,IMT Atlantique,Public,Partnered,Edugo,France,Nantes,201-250,Master in Information Technologies - Architecture and Engineering for the Internet of Things,Engineering,Internet of Things,24,3.0,70,Bachelor's,No,0,Engineering; Computer Science or related,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Regional scholarships,15000,10000,No,No,No,No,04/15,96,94,2 years,https://www.imt-atlantique.fr/en,https://www.imt-atlantique.fr/en/study/msc/architecture-and-engineering-for-the-internet-of-things,,,,
PROG035,IMT Atlantique,Public,Partnered,Edugo,France,Nantes,201-250,Master in Data Science,Data Science,Data Science & AI,24,3.0,70,Bachelor's,No,0,Maths; Computer Science or Engineering,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Excellence Scholarship,12000,10000,No,No,Yes,No,04/15,96,94,2 years,https://www.imt-atlantique.fr/en,https://www.imt-atlantique.fr/en/study/msc/data-science,,,,
PROG036,IMT Atlantique,Public,Partnered,Edugo,France,Nantes,201-250,Master in Management and Engineering of Digital Transformation,Engineering & Management,Digital Transformation,24,3.0,70,Bachelor's,No,0,Engineering or Business,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Merit scholarships,10000,10000,No,No,Yes,No,04/15,96,94,2 years,https://www.imt-atlantique.fr/en,https://www.imt-atlantique.fr/en/study/msc/management-engineering-digital-transformation,,,,
PROG037,Ecole Centrale de Nantes,Public,Partnered,Edugo,France,Nantes,251-300,MSc in Applied Mechanics - Computational Mechanics,Engineering,Computational Mechanics,24,3.0,70,Bachelor's,No,0,Engineering; Mechanics or Physics,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Centrale Nantes Excellence,15000,10000,No,No,Yes,No,03/31,95,93,2 years,https://www.ec-nantes.fr/,https://www.ec-nantes.fr/english-version/study/masters/msc-computational-mechanics,,,,
PROG038,Ecole Centrale de Nantes,Public,Partnered,Edugo,France,Nantes,251-300,MSc in Control and Robotics - Advanced Robotics,Engineering,Robotics,24,3.0,70,Bachelor's,No,0,Engineering; Control; Robotics,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Excellence Scholarship,12000,10000,No,No,Yes,No,03/31,95,93,2 years,https://www.ec-nantes.fr/,https://www.ec-nantes.fr/english-version/study/masters/msc-advanced-robotics,,,,
PROG039,Ecole Centrale de Nantes,Public,Partnered,Edugo,France,Nantes,251-300,MSc in Control and Robotics - Signal and Image Processing,Engineering,Signal & Image Processing,24,3.0,70,Bachelor's,No,0,Engineering; EE or Computer Science,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Merit-based,10000,10000,No,No,Yes,No,03/31,95,93,2 years,https://www.ec-nantes.fr/,https://www.ec-nantes.fr/english-version/study/masters/msc-signal-image-processing,,,,
PROG040,Ecole Centrale de Nantes,Public,Partnered,Edugo,France,Nantes,251-300,MSc in Hydrodynamics and Ocean Engineering,Engineering,Ocean Engineering,24,3.0,70,Bachelor's,No,0,Engineering; Naval or Civil,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Regional scholarships,12000,10000,No,No,Yes,No,03/31,95,93,2 years,https://www.ec-nantes.fr/,https://www.ec-nantes.fr/english-version/study/masters/msc-hydrodynamics-ocean-engineering,,,,
PROG041,Ecole Centrale de Nantes,Public,Partnered,Edugo,France,Nantes,251-300,MSc in Mechanical Engineering - Advanced Manufacturing,Engineering,Advanced Manufacturing,24,3.0,70,Bachelor's,No,0,Mechanical Engineering,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Excellence,12000,10000,No,No,Yes,No,03/31,95,93,2 years,https://www.ec-nantes.fr/,https://www.ec-nantes.fr/english-version/study/masters/msc-advanced-manufacturing,,,,
PROG042,ESAIP Graduate School of Engineering,Private,Partnered,Edugo,France,Angers - Saint-Barthélemy-d'Anjou,801-1000,MSc in Digital Security and Risk Management,Computer Science,Cybersecurity & Risk Management,24,3.0,70,Bachelor's,No,0,IT; Engineering or related,Yes,6.5,80,58,105,Yes,No,No,11900,11000,60,Yes,Merit & Excellence Scholarship,3000,9000,No,No,Yes,No,05/31,92,88,2 years,https://www.esaip.org/en/,https://www.esaip.org/en/programmes/msc-digital-security-risk-management/,,,,
PROG043,ESAIP Graduate School of Engineering,Private,Partnered,Edugo,France,Angers - Saint-Barthélemy-d'Anjou,801-1000,MSc in Environmental Engineering & Sustainable Development,Engineering,Environment & Sustainability,24,3.0,70,Bachelor's,No,0,Engineering or Science,Yes,6.5,80,58,105,Yes,No,No,11900,11000,60,Yes,Merit & Regional Scholarship,3000,9000,No,No,Yes,No,05/31,92,88,2 years,https://www.esaip.org/en/,https://www.esaip.org/en/programmes/msc-environmental-engineering/,,,,
PROG044,EPITA Graduate School of Computer Science,Private,Partnered,Edugo,France,Paris - Kremlin-Bicêtre,601-800,MSc in Artificial Intelligence Systems,Computer Science,Artificial Intelligence,18,3.0,70,Bachelor's,No,0,CS; Engineering or Maths,Yes,6.5,85,58,110,Yes,No,No,15900,14700,80,Yes,Excellence Scholarship,4000,12000,No,No,Yes,No,06/15,94,92,2 years,https://www.epita.fr/en/,https://www.epita.fr/en/msc-artificial-intelligence-systems/,,,,
PROG045,EPITA Graduate School of Computer Science,Private,Partnered,Edugo,France,Paris - Kremlin-Bicêtre,601-800,MSc in Computer Security,Computer Science,Cybersecurity,18,3.0,70,Bachelor's,No,0,CS; Engineering or related,Yes,6.5,85,58,110,Yes,No,No,15900,14700,80,Yes,Excellence Scholarship,4000,12000,No,No,Yes,No,06/15,94,92,2 years,https://www.epita.fr/en/,https://www.epita.fr/en/msc-computer-security/,,,,
PROG046,EPITA Graduate School of Computer Science,Private,Partnered,Edugo,France,Paris - Kremlin-Bicêtre,601-800,MSc in Data Science & Analytics,Computer Science,Data Science & Big Data,18,3.0,70,Bachelor's,No,0,CS; Maths or Engineering,Yes,6.5,85,58,110,Yes,No,No,15900,14700,80,Yes,Excellence Scholarship,4000,12000,No,No,Yes,No,06/15,94,92,2 years,https://www.epita.fr/en/,https://www.epita.fr/en/msc-data-science-analytics/,,,,
PROG047,EPITA Graduate School of Computer Science,Private,Partnered,Edugo,France,Paris - Kremlin-Bicêtre,601-800,MSc in Software Engineering,Computer Science,Software Engineering,18,3.0,70,Bachelor's,No,0,CS or Engineering,Yes,6.5,85,58,110,Yes,No,No,15900,14700,80,Yes,Excellence Scholarship,4000,12000,No,No,Yes,No,06/15,94,92,2 years,https://www.epita.fr/en/,https://www.epita.fr/en/msc-software-engineering/,,,,
PROG048,EPITA Graduate School of Computer Science,Private,Partnered,Edugo,France,Paris - Kremlin-Bicêtre,601-800,MSc in Artificial Intelligence for Marketing Strategy,Business & AI,AI for Marketing,18,3.0,70,Bachelor's,No,0,Business; Marketing or IT,Yes,6.5,85,58,110,Yes,No,No,15900,14700,80,Yes,Excellence Scholarship,4000,12000,No,No,Yes,No,06/15,94,92,2 years,https://www.epita.fr/en/,https://www.epita.fr/en/msc-ai-marketing-strategy/,,,,
PROG049,IMT Mines Albi,Public,Partnered,Edugo,France,Albi,351-400,Master in Advanced Manufacturing & Supply Chain Management,Engineering,Industry 4.0 & Supply Chain,24,3.0,70,Bachelor's,No,0,Engineering; Supply Chain or Management,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Excellence Scholarship,10000,8500,No,No,Yes,No,03/31,96,93,2 years,https://www.imt-mines-albi.fr/en,https://www.imt-mines-albi.fr/en/master-advanced-manufacturing-supply-chain,,,,
PROG050,IMT Mines Albi,Public,Partnered,Edugo,France,Albi,351-400,Master in Biomass and Waste for Energy and Materials,Engineering,Biomass & Circular Economy,24,3.0,70,Bachelor's,No,0,Engineering; Chemistry or Environment,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Regional Scholarship,10000,8500,No,No,Yes,No,03/31,96,93,2 years,https://www.imt-mines-albi.fr/en,https://www.imt-mines-albi.fr/en/master-biowaste,,,,
PROG051,IMT Mines Albi,Public,Partnered,Edugo,France,Albi,351-400,Master in Aeronautical Maintenance & Production Management,Engineering,Aerospace Maintenance,24,3.0,70,Bachelor's,No,0,Engineering or Aerospace,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Industrial Partnership Scholarship,12000,8500,No,No,Yes,No,03/31,96,93,2 years,https://www.imt-mines-albi.fr/en,https://www.imt-mines-albi.fr/en/master-aeronautical-maintenance,,,,
PROG052,Ecole Centrale de Lille,Public,Partnered,Edugo,France,Lille,301-350,MSc in Smart and Resilient Cities,Engineering,Smart Cities & Urban Systems,24,3.0,70,Bachelor's,No,0,Engineering; Architecture or Urban Planning,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Excellence Scholarship,12000,10000,No,No,Yes,No,04/15,95,92,2 years,https://centralelille.fr/en/,https://centralelille.fr/en/master-smart-cities/,,,,
PROG053,Ecole Centrale de Lille,Public,Partnered,Edugo,France,Lille,301-350,MSc in Artificial Intelligence and Data Science,Computer Science,AI & Data Science,24,3.0,70,Bachelor's,No,0,CS; Engineering or Mathematics,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Merit Scholarship,10000,10000,No,No,Yes,No,04/15,95,92,2 years,https://centralelille.fr/en/,https://centralelille.fr/en/master-ai-data-science/,,,,
PROG054,Ecole Centrale de Lille,Public,Partnered,Edugo,France,Lille,301-350,MSc in Mechanical Engineering and Industry 4.0,Engineering,Industry 4.0 & Advanced Manufacturing,24,3.0,70,Bachelor's,No,0,Mechanical or Industrial Engineering,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Industrial Scholarship,12000,10000,No,No,Yes,No,04/15,95,92,2 years,https://centralelille.fr/en/,https://centralelille.fr/en/master-mechanical-engineering-industry4/,,,,
PROG055,Ecole Centrale de Lille,Public,Partnered,Edugo,France,Lille,301-350,MSc in Entrepreneurship & Innovation Management,Business & Engineering,Entrepreneurship & Technology,24,3.0,70,Bachelor's,No,0,Engineering or Business,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Startup Scholarship,10000,10000,No,No,Yes,No,04/15,95,92,2 years,https://centralelille.fr/en/,https://centralelille.fr/en/master-entrepreneurship-innovation/,,,,
PROG056,IMT Mines Alès,Public,Partnered,Edugo,France,Alès,401-450,Master in Environmental & Risk Management,Engineering,Environment & Industrial Risks,24,3.0,70,Bachelor's,No,0,Engineering or Science,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Excellence Scholarship,10000,8500,No,No,Yes,No,03/31,96,93,2 years,https://www.mines-ales.fr/en,https://www.mines-ales.fr/en/master-environment-risk-management,,,,
PROG057,IMT Mines Alès,Public,Partnered,Edugo,France,Alès,401-450,Master in Digital Transformation & Industry of the Future,Engineering,Industry 4.0 & Digitalisation,24,3.0,70,Bachelor's,No,0,Engineering or IT,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Regional Scholarship,10000,8500,No,No,Yes,No,03/31,96,93,2 years,https://www.mines-ales.fr/en,https://www.mines-ales.fr/en/master-digital-transformation,,,,
PROG058,INP Toulouse (Toulouse INP),Public,Partnered,Edugo,France,Toulouse,351-400,MSc in Fluids Engineering for Industrial Processes,Engineering,Fluid Mechanics & Energetics,24,3.0,70,Bachelor's,No,0,Engineering; Physics or Chemistry,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Excellence Scholarship,12000,9500,No,No,Yes,No,04/01,96,94,2 years,https://www.toulouse-inp.fr/en/,https://www.toulouse-inp.fr/en/msc-fluids-engineering,,,,
PROG059,INP Toulouse (Toulouse INP),Public,Partnered,Edugo,France,Toulouse,351-400,MSc in Eco-Energy & Energy Transition,Engineering,Renewable Energy & Sustainability,24,3.0,70,Bachelor's,No,0,Engineering or Energy-related,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Regional Scholarship,12000,9500,No,No,Yes,No,04/01,96,94,2 years,https://www.toulouse-inp.fr/en/,https://www.toulouse-inp.fr/en/msc-eco-energy,,,,
PROG060,INP Toulouse (Toulouse INP),Public,Partnered,Edugo,France,Toulouse,351-400,MSc in Industrial & Safety Engineering,Engineering,Risk Management & Safety,24,3.0,70,Bachelor's,No,0,Engineering background,Yes,6.5,80,58,105,No,No,No,12000,11000,0,Yes,Eiffel; Excellence Scholarship,10000,9500,No,No,Yes,No,04/01,96,94,2 years,https://www.toulouse-inp.fr/en/,https://www.toulouse-inp.fr/en/msc-industrial-safety,,,,
